z,d_L,Δd_L
2.801095611613352299e-01,1.482335940236094075e+03,9.556972988631440558e+01
3.391336395544368720e-01,1.848400148590496883e+03,1.361951560970386481e+02
3.197690972825354971e-01,1.726503504117952843e+03,1.272134794106874409e+02
3.367711441327019273e-01,1.833436771394883408e+03,1.350926137203516930e+02
3.480762252807818036e-01,1.905268393246375581e+03,1.403853632141382946e+02
3.296361783482243957e-01,1.788400232961837219e+03,1.317741989352001610e+02
3.439527801696325993e-01,1.879001560185836524e+03,1.384499514302867738e+02
3.061675396402426252e-01,1.641922595565212987e+03,1.209813277567536289e+02
3.306481324304191838e-01,1.794773616312068270e+03,1.322438071750138704e+02
3.100099249491337083e-01,1.665728428830391522e+03,1.227354063744400889e+02
3.044243908868222714e-01,1.631145744781037365e+03,1.201872600458715823e+02
3.285915359903582855e-01,1.781825902645293354e+03,1.312897843757347971e+02
3.226877635320207771e-01,1.744765615867706401e+03,1.285590815316978137e+02
3.444880314559519707e-01,1.882406857335208315e+03,1.387008629967942568e+02
3.039476489876697385e-01,1.628200837638388748e+03,1.199702712686903254e+02
3.435769911784236075e-01,1.876611541611729990e+03,1.382738483537838476e+02
3.118746286848776417e-01,1.677306401611388765e+03,1.235885029354837741e+02
3.352656186790326509e-01,1.823914429185581412e+03,1.343909816172628382e+02
3.467767889617438537e-01,1.896982590052934484e+03,1.397748426728039135e+02
3.258276768391141220e-01,1.764456077985058982e+03,1.300099283971563580e+02
3.070071964325133962e-01,1.647118818368758639e+03,1.213641996021078739e+02
3.440941804530044945e-01,1.879901030923751478e+03,1.385162268834934025e+02
3.303081521955267275e-01,1.792631864818439908e+03,1.320859970930258385e+02
3.377421257292913537e-01,1.839583627600788077e+03,1.355455308233435119e+02
3.030604151995009987e-01,1.622723126917882155e+03,1.195666586271296126e+02
3.239927522719786568e-01,1.752943698191894782e+03,1.291616649060643454e+02
3.481995280034534401e-01,1.906055021294381277e+03,1.404433241106845003e+02
3.300303381379586787e-01,1.790882130821836881e+03,1.319570719276727857e+02
3.458808457223530031e-01,1.891274057351438387e+03,1.393542224391612194e+02
3.347472232388908897e-01,1.820638002624822775e+03,1.341495655866358732e+02
3.909270834944812978e-01,2.182670306359483220e+03,1.608250915310109690e+02
3.963014981219823429e-01,2.218021250176724152e+03,1.634298453312301547e+02
3.836718842287281661e-01,2.135142838184174707e+03,1.573231382597081165e+02
3.697083996944692807e-01,2.044306965560006802e+03,1.506301038208756324e+02
3.776150495335266477e-01,2.095638220871865542e+03,1.544123304860198687e+02
3.993887734872916262e-01,2.238383334643411672e+03,1.649301791601991170e+02
3.731085498594315375e-01,2.066348051124911308e+03,1.522541510226406274e+02
3.734573811221431616e-01,2.068612152074941605e+03,1.524209761457309753e+02
3.568074530414356849e-01,1.961138312353559968e+03,1.445020109863938558e+02
3.921902336597622996e-01,2.190967859666548520e+03,1.614364778527124997e+02
3.655291319811240225e-01,2.017284410920336086e+03,1.486390084132621041e+02
3.681863952209444291e-01,2.034457062415530572e+03,1.499043361361426605e+02
3.519329490793739468e-01,1.929905140492963938e+03,1.422006658365337159e+02
3.905751930790253845e-01,2.180359966031614476e+03,1.606548593646527934e+02
3.882501737518185836e-01,2.165108250279294680e+03,1.595310714179688318e+02
3.565357257612561392e-01,1.959394454387420410e+03,1.443735187829656468e+02
3.585367738719176245e-01,1.972244197927951063e+03,1.453203228765727602e+02
3.968591995425540531e-01,2.221696593965770717e+03,1.637006546694793201e+02
3.782242722397043955e-01,2.099604624516979129e+03,1.547045859070130405e+02
3.569775065186698848e-01,1.962229827141703709e+03,1.445824367681526610e+02
3.668291301221314193e-01,2.025681831742525446e+03,1.492577532454147899e+02
3.642776495866784647e-01,2.009207377907553109e+03,1.480438706273147602e+02
3.708195314844606183e-01,2.051504217045883252e+03,1.511604169082967246e+02
3.600497855602386443e-01,1.981971769694340765e+03,1.460370768522629419e+02
3.542509371627396431e-01,1.944744376530013369e+03,1.432940611546242735e+02
3.855695130585553576e-01,2.147552164868749969e+03,1.582374912401240010e+02
3.944999417677112485e-01,2.206157661032845681e+03,1.625557037788429398e+02
4.224749190768382623e-01,2.391905580142418330e+03,1.872572485112970639e+02
4.341784305911507991e-01,2.470567779385386530e+03,1.934155463615025781e+02
4.301906318362734849e-01,2.443702576223801316e+03,1.913123262066184225e+02
4.047230859596293584e-01,2.273659943050158745e+03,1.780000467077695419e+02
4.307476584858483948e-01,2.447451330378556122e+03,1.916058082713757074e+02
4.137563567815960575e-01,2.333668526313083021e+03,1.826979922630482065e+02
4.268894178015802954e-01,2.421511359943616753e+03,1.895750226373449721e+02
4.247574218218068132e-01,2.407203262414390792e+03,1.884548718266283629e+02
4.525800782758796492e-01,2.595359571639906335e+03,2.031852328609936649e+02
4.642406738083253437e-01,2.675126512725299108e+03,2.094300186225302980e+02
4.502596359200310427e-01,2.579549483521742332e+03,2.019474943715202357e+02
4.750215500359578069e-01,2.749343612572513393e+03,2.152403190061474731e+02
4.555266814499644434e-01,2.615466391981404740e+03,2.047593534637123582e+02
4.877582605314557673e-01,2.837595962156918631e+03,2.221494095216889946e+02
4.903066118939650719e-01,2.855326869748951140e+03,2.235375249209157289e+02
4.566625565693395172e-01,2.623226369708814673e+03,2.053668657709737602e+02
4.973603930783775939e-01,2.904532154137719772e+03,2.273897029681395168e+02
