z,SNR,m1,m2,Mc,eta,dL,iota,theta,phi,psi
2.633096,167.421401,13442.886286,5900.975013,27708.819431,0.211997,22203.016886,0.167647,0.890529,5.624836,6.146220
2.921628,86.501946,1699548.013110,1561474.040682,5560534.696104,0.249552,25164.518991,0.991275,1.864729,3.434276,0.482470
2.728080,698.911545,161801.024566,110921.899078,433251.412185,0.241299,23172.455148,0.836107,1.191165,1.531673,1.958511
2.615220,123.226801,463184.526747,403113.605636,1359283.661590,0.248798,22021.193090,1.476047,1.995937,2.407038,0.430759
2.835562,196.329128,624435.874670,234519.582349,1248633.669414,0.198484,24276.028386,1.332878,2.183231,0.253558,2.741799
2.795255,437.812132,505157.735428,248018.405298,1155069.827525,0.220860,23861.384413,0.487504,2.715634,5.995900,1.543254
2.889321,324.500493,14211.312069,13353.579012,46638.187577,0.249758,24830.515827,0.921240,0.791058,3.055434,0.019691
2.929895,31.056501,3714650.601356,1967286.944235,9156996.435061,0.226356,25250.080476,0.938656,1.266945,6.188762,3.996742
2.829466,313.532771,413564.836634,275388.274960,1120453.071885,0.239944,24213.253937,1.035734,2.256716,0.394766,1.667329
2.613236,79.308583,342959.987584,250604.660318,919903.409141,0.243948,22001.026546,1.462058,1.178445,4.455871,5.175972
2.483181,616.713139,280238.037237,168006.241025,653709.280641,0.234327,20684.659741,1.309695,1.843391,0.049683,4.975465
2.631072,405.283603,78574.499094,30007.902460,150104.376969,0.199985,22182.422558,1.220155,1.944547,4.937930,1.625633
2.415283,302.047801,417210.310793,186900.794839,817302.993844,0.213665,20001.953980,1.025341,1.108210,6.206655,5.286381
2.443407,94.402877,1023401.408548,938705.748165,2937576.079872,0.249534,20284.345567,1.233668,0.834691,0.436909,2.199506
2.644025,239.731928,339204.755629,213238.301793,848633.418065,0.237002,22314.276193,0.748107,0.686647,0.022490,3.612066
2.654098,159.606304,467559.099262,115471.432629,706364.027730,0.158829,22416.888712,1.295570,2.975472,4.163534,2.640183
2.557593,539.185901,299625.826478,279978.945145,896917.737659,0.249713,21436.463167,0.820528,0.773802,2.228950,4.106922
2.457449,700.465239,84658.816599,45880.560254,185860.916686,0.227939,20425.551579,0.494400,2.752262,3.896248,5.443738
2.632296,116.495777,971737.746651,553528.941753,2301048.403445,0.231205,22194.878461,1.379104,1.713018,2.115877,1.834783
2.568002,299.766216,16882.235522,4379.661043,25599.233033,0.163556,21541.923859,0.557774,1.853897,6.213457,0.540216
2.587352,598.558897,408220.335887,247316.178261,986149.895314,0.234938,21738.158880,0.317634,0.544224,3.341650,0.645585
2.825639,532.764381,30170.919111,11624.039831,61016.399387,0.200770,24173.860941,0.444245,2.573529,5.769424,6.064470
2.669574,46.456969,2679441.678962,1184684.802628,5600073.316055,0.212591,22574.668385,1.001038,0.339952,5.890370,4.205729
2.660167,420.514305,831952.662193,628141.794902,2298891.624709,0.245129,22478.743377,0.654460,1.030489,2.711131,4.068126
2.446681,26.872252,4318.974908,1963.332819,8606.012171,0.214850,20317.249944,1.374149,0.158759,5.841430,4.288399
2.555916,747.857495,79607.617783,50072.151764,194405.039898,0.237032,21419.476956,1.010009,1.836917,5.168889,2.296146
2.370905,139.930258,9820.372174,5532.377040,21455.225146,0.230498,19557.486723,0.912493,1.191057,3.948345,0.969737
2.615307,406.807961,80318.429878,26238.489882,140243.021788,0.185605,22022.080928,0.809202,0.359612,5.347298,3.889533
2.941852,19.810941,4133065.328195,1955111.577148,9622085.147391,0.218006,25373.905430,1.463882,1.870227,5.464474,3.018687
2.703165,1165.246745,193999.582289,140903.211324,531645.741320,0.243716,22917.630976,0.790128,1.637427,2.937887,0.143435
2.377181,462.214776,611941.008640,201610.765172,1002793.015824,0.186403,19620.262906,0.511148,1.762798,2.798362,0.393623
2.484644,35.179066,6636.429770,2716.600154,12634.093321,0.206089,20699.399719,1.463975,0.669338,6.114451,0.117830
2.834827,243.103779,2010755.154989,1105566.691222,4933825.152442,0.228907,24268.456024,0.052288,0.954117,2.975376,0.574082
